"clust","Cases","OFI","tx","case.status"
1,52,138,1,1
1,52,138,1,1
1,52,138,1,1
1,52,138,1,1
1,52,138,1,1
1,52,138,1,1
1,52,138,1,1
1,52,138,1,1
1,52,138,1,1
1,52,138,1,0
1,52,138,1,0
1,52,138,1,0
1,52,138,1,0
1,52,138,1,0
1,52,138,1,0
1,52,138,1,0
1,52,138,1,0
2,74,212,0,1
2,74,212,0,1
2,74,212,0,1
2,74,212,0,1
2,74,212,0,1
2,74,212,0,1
2,74,212,0,1
2,74,212,0,1
2,74,212,0,1
2,74,212,0,1
2,74,212,0,1
2,74,212,0,1
2,74,212,0,0
2,74,212,0,0
2,74,212,0,0
2,74,212,0,0
2,74,212,0,0
2,74,212,0,0
2,74,212,0,0
2,74,212,0,0
2,74,212,0,0
2,74,212,0,0
2,74,212,0,0
2,74,212,0,0
3,54,125,0,1
3,54,125,0,1
3,54,125,0,1
3,54,125,0,1
3,54,125,0,1
3,54,125,0,1
3,54,125,0,1
3,54,125,0,1
3,54,125,0,1
3,54,125,0,0
3,54,125,0,0
3,54,125,0,0
3,54,125,0,0
3,54,125,0,0
3,54,125,0,0
3,54,125,0,0
4,72,145,0,1
4,72,145,0,1
4,72,145,0,1
4,72,145,0,1
4,72,145,0,1
4,72,145,0,1
4,72,145,0,1
4,72,145,0,1
4,72,145,0,1
4,72,145,0,1
4,72,145,0,1
4,72,145,0,1
4,72,145,0,0
4,72,145,0,0
4,72,145,0,0
4,72,145,0,0
4,72,145,0,0
4,72,145,0,0
4,72,145,0,0
4,72,145,0,0
5,46,165,0,1
5,46,165,0,1
5,46,165,0,1
5,46,165,0,1
5,46,165,0,1
5,46,165,0,1
5,46,165,0,1
5,46,165,0,1
5,46,165,0,0
5,46,165,0,0
5,46,165,0,0
5,46,165,0,0
5,46,165,0,0
5,46,165,0,0
5,46,165,0,0
5,46,165,0,0
5,46,165,0,0
6,42,194,1,1
6,42,194,1,1
6,42,194,1,1
6,42,194,1,1
6,42,194,1,1
6,42,194,1,1
6,42,194,1,1
6,42,194,1,0
6,42,194,1,0
6,42,194,1,0
6,42,194,1,0
6,42,194,1,0
6,42,194,1,0
6,42,194,1,0
6,42,194,1,0
6,42,194,1,0
6,42,194,1,0
6,42,194,1,0
7,70,250,1,1
7,70,250,1,1
7,70,250,1,1
7,70,250,1,1
7,70,250,1,1
7,70,250,1,1
7,70,250,1,1
7,70,250,1,1
7,70,250,1,1
7,70,250,1,1
7,70,250,1,1
7,70,250,1,1
7,70,250,1,0
7,70,250,1,0
7,70,250,1,0
7,70,250,1,0
7,70,250,1,0
7,70,250,1,0
7,70,250,1,0
7,70,250,1,0
7,70,250,1,0
7,70,250,1,0
7,70,250,1,0
7,70,250,1,0
7,70,250,1,0
7,70,250,1,0
8,50,131,0,1
8,50,131,0,1
8,50,131,0,1
8,50,131,0,1
8,50,131,0,1
8,50,131,0,1
8,50,131,0,1
8,50,131,0,1
8,50,131,0,0
8,50,131,0,0
8,50,131,0,0
8,50,131,0,0
8,50,131,0,0
8,50,131,0,0
8,50,131,0,0
8,50,131,0,0
9,73,229,1,1
9,73,229,1,1
9,73,229,1,1
9,73,229,1,1
9,73,229,1,1
9,73,229,1,1
9,73,229,1,1
9,73,229,1,1
9,73,229,1,1
9,73,229,1,1
9,73,229,1,1
9,73,229,1,1
9,73,229,1,0
9,73,229,1,0
9,73,229,1,0
9,73,229,1,0
9,73,229,1,0
9,73,229,1,0
9,73,229,1,0
9,73,229,1,0
9,73,229,1,0
9,73,229,1,0
9,73,229,1,0
9,73,229,1,0
9,73,229,1,0
10,69,156,1,1
10,69,156,1,1
10,69,156,1,1
10,69,156,1,1
10,69,156,1,1
10,69,156,1,1
10,69,156,1,1
10,69,156,1,1
10,69,156,1,1
10,69,156,1,1
10,69,156,1,1
10,69,156,1,0
10,69,156,1,0
10,69,156,1,0
10,69,156,1,0
10,69,156,1,0
10,69,156,1,0
10,69,156,1,0
10,69,156,1,0
10,69,156,1,0
